title,company,location,salary,salary_period,job_type,posted_date,summary,url,scraped_from_page
Senior Software Engineer - Urology R & D,Boston Scientific,"Arden Hills, MN","$86,600 - $164,500",year,Not mentioned,28 days ago,"You will leverage deep technical expertise in C++ application development, the Linux operating system, and cybersecurity to architect, develop, and deliver…",https://www.indeed.com/viewjob?jk=cef5a92caba04a8a,1
Senior AI Developer,Affinity Plus Federal Credit Union,"Saint Paul, MN 55107","$114,200 - $148,500",year,Full-time,5 days ago,5+ years of experience in a developer or similar role. The Senior AI Developer designs and implements advanced AI and intelligent automation solutions to…,https://www.indeed.com/viewjob?jk=53c0e3b8c0eb7604,1
Sr. PeopleSoft Developer,University of Minnesota,"Minneapolis, MN",Not mentioned,Not mentioned,Full-time,21 days ago,"Collaborate with functional partners, developers and support to define and understand both functional and technical requirements for PeopleSoft Systems.",https://www.indeed.com/viewjob?jk=12845d4de1f704d7,2
Computational Bio. Asst.,University of Minnesota,"Minneapolis, MN",Not mentioned,Not mentioned,Part-time,29 days ago,Programming skills in Bash and Python. The ability to document work and maintain organized code repositories in Git/GitHub.,https://www.indeed.com/viewjob?jk=9d91a313660ad0b2,2
Sr Developer - Equipment Finance Systems,Huntington Bank,"Minnetonka, MN 55305","$77,000 - $154,000",year,Full-time,11 days ago,"Work as a key technical leader and direct contributor to the work necessary to deliver on our product goals. Do the work necessary to keep our systems current,…",https://www.indeed.com/viewjob?jk=8e21cb58e01b7e7a,2
"Software Engineer II (AWS, Node, React, Python, SQL, Databricks)","The Travelers Companies, Inc.","Saint Paul, MN 55101","$120,400 - $198,700",year,Not mentioned,22 days ago,The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country.,https://www.indeed.com/viewjob?jk=a44fe3a293d26adb,2
"Senior Software Engineer - Tech Lead (AWS, Node, React, Python, SQL, Databricks)","The Travelers Companies, Inc.","Saint Paul, MN 55101","$139,400 - $230,000",year,Not mentioned,30+ days ago,The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country.,https://www.indeed.com/viewjob?jk=2f0b74c0e630631c,2
"Full Stack Web Developer - Entry Level - Saint Louis Park, MN",Aston Technologies Inc.,"Saint Louis Park, MN",$25 - $-1,hour,Not mentioned,30+ days ago,"When on a project, our software developers solve technical challenges, document solutions, resolve bugs, and allocate resources to deliver solutions for the…",https://www.indeed.com/viewjob?jk=a3f0e04c136e6e5f,2
(Python Based) Senior Research Engineer,Thomson Reuters,"Eagan, MN 55121","$126,000 - $234,000",year,Full-time,30+ days ago,We support the organization and our customers through applied research and the development of new products and technologies.,https://www.indeed.com/viewjob?jk=8dd2f7c20d441257,2
"Senior Deep Learning Software Engineer, Inference",NVIDIA,Minnesota,Not mentioned,Not mentioned,Full-time,30+ days ago,"You’ll work closely with the deep learning community to implement the latest algorithms for public release in frameworks like SGLang and vLLM, as well as other…",https://www.indeed.com/viewjob?jk=1ee311941b389ee3,2
Sr Software Developer,Aspen Technology,"Medina, MN","$109,600 - $137,000",year,Full-time,1 day ago,"With this role, you will help to build a variety of applications, services, and visualization tools made for enabling our utility customers to optimize their…",https://www.indeed.com/viewjob?jk=27fb092f7bbb7fd7,2
Associate Software Developer,Aspen Technology,"Medina, MN","$70,700 - $88,400",year,Full-time,1 day ago,"Collaborate with other developers, architects, and stakeholders to design and implement best-in-class software. Specific on-the-job training will be provided.",https://www.indeed.com/viewjob?jk=e60df3fc792a698c,2
"Entry-Level Developer (Full-Time, On-Site – Downtown Minneapolis)",Remarqable,"Minneapolis, MN 55402",$20 - $-1,hour,Full-time,1 day ago,Mentorship: work directly with an experienced founder and developer. We’re looking for an entry-level or junior developer who’s passionate about building real-…,https://www.indeed.com/viewjob?jk=48d143aea8985c68,2
"Lead Machine Learning / AI Engineer - Personalization (Python, PySpark, ML Ops)",Target,"Brooklyn Park, MN 55445","$128,000 - $231,000",year,Full-time,5 days ago,Pay is based on several factors which vary based on position. Target offers eligible team members and their dependents comprehensive health benefits and…,https://www.indeed.com/viewjob?jk=0af7b1dc708f5426,2
Software Engineering Manager - Cloud and Web,Starkey Laboratories,"Eden Prairie, MN 55344","$126,280 - $152,250",year,Full-time,15 days ago,The Software Engineering Manager will manage the development of cloud and web-based solutions for its mobile and telehealth products.,https://www.indeed.com/viewjob?jk=06004bee3b41b4d7,2
CMake Engineer,Kitware,"Minneapolis, MN","$75,000 - $120,000",year,Full-time,19 days ago,Kitware is seeking a Software Developer with CMake experience for the Software Solutions team. Kitware works in a variety of exciting scientific computing…,https://www.indeed.com/viewjob?jk=b9b4a3befa256cfe,2
Senior Engineer,Sportsdigita,"Edina, MN 55435",Not mentioned,Not mentioned,Full-time,22 days ago,"The role requires the ability to balance elegant, user-friendly interfaces with the technical depth needed to ensure scalability, security, and performance for…",https://www.indeed.com/viewjob?jk=cd09bfb07f75430c,2
