title,company,location,salary,salary_period,job_type,posted_date,summary,url,scraped_from_page
Full Stack Developer (Web + Python) Contract Work,Darcy Solutions,"New Brighton, MN 55112",$50 - $150,hour,Contract,30+ days ago,Darcy Solutions is seeking a skilled Contract Full-Stack Developer (Web + Python) to join our growing team. This role is ideal for professionals experienced in…,https://www.indeed.com/viewjob?jk=571df1c53fd663ac,1
Research Engineer,"Galois, Inc.","Minneapolis, MN",Not mentioned,Not mentioned,Full-time,30+ days ago,"Research Engineers at Galois design and develop advanced technologies for safety- and security-critical systems, networks, and applications.",https://www.indeed.com/viewjob?jk=05ff6e129140f4e4,1
AI / ML Engineer,"Phaedon, LLC","Minneapolis, MN 55401",Not mentioned,Not mentioned,Full-time,30+ days ago,"You will be a key member of our team, responsible for building, deploying, and scaling AI-powered data products and analytics solutions that solve real client…",https://www.indeed.com/viewjob?jk=d8181bdcf0cff68c,1
Backend Engineer,"Mountain Health Technologies, Inc","Minneapolis, MN 55401",Not mentioned,Not mentioned,Full-time,30+ days ago,"You'll work with our infrastructure, data, and frontend teams to create robust, scalable systems that power our healthcare platform.",https://www.indeed.com/viewjob?jk=ae39fe9a4d4042ad,1
PTC Integrity Developer,Info-Ways,"Saint Paul, MN",Not mentioned,Not mentioned,Contract,30+ days ago,"BGV will be done for the selected candidates. Seeking a PTC Integrity Developer to build high quality, user focused custom applications utilizing PTC’s software…",https://www.indeed.com/viewjob?jk=202d0a6005692476,1
JAVA FULL STACK DEVELOPER,Code Lab Technology,"Minneapolis, MN",Not mentioned,Not mentioned,Contract,30+ days ago,"All of our consultants hold advanced level degrees, certifications, training and experience within the field of information technology.",https://www.indeed.com/viewjob?jk=4f5caea2996d2d8a,1
Azure Developer,HISTOSONICS INC,"Plymouth, MN 55446","$110,000 - $145,000",year,Full-time,27 days ago,The Azure Developer / Software Engineer is responsible for development and execution of various SW development tasks during software development process to…,https://www.indeed.com/viewjob?jk=4a81ec5c94e2a5e4,1
Senior Software Developer,Social Indoor,"Minnetonka, MN 55345","$90,000 - $115,000",year,Full-time,8 days ago,"Design, develop, and maintain web-based applications, APIs, and internal tools that support business operations. Databases include SQL Server and MySQL.",https://www.indeed.com/viewjob?jk=8dbbcf8a041a65e5,1
Senior AI Engineer,Medica Services Company LLC,"Minnetonka, MN 55305","$111,200 - $190,600",year,Full-time,30+ days ago,"Design, implement and deploy AI pipelines, systems and platforms – from evaluation design and benchmarking through product integration-ensuring performance,…",https://www.indeed.com/viewjob?jk=633b0b0d05376471,1
Software Developer(DERMS/DERS),Aspen Technology,"Medina, MN","$90,200 - $112,800",year,Full-time,30+ days ago,"Collaborate with other developers, architects, and stakeholders to design and implement best -in-class software. Ensure reliable code by developing unit tests.",https://www.indeed.com/viewjob?jk=c40b2874aa8b29d0,1
AI Software Engineer,Medica Services Company LLC,"Minnetonka, MN 55305","$98,400 - $168,600",year,Full-time,30+ days ago,"Assist in designing, implementing and deploying AI pipelines and systems—from evaluation setup and benchmarking to integration with products.",https://www.indeed.com/viewjob?jk=9838f21602ff19c6,1
Sr. Power Systems Developer,Aspen Technology,"Medina, MN","$115,100 - $143,900",year,Full-time,30+ days ago,"Model and simulate steady-state and dynamic behavior of distribution system equipment such as transformers, cables/lines, conventional and renewable generators,…",https://www.indeed.com/viewjob?jk=c8b26cf6ccfc0926,1
Data Engineering Consultant - Hybrid,Securian Financial Group,"Saint Paul, MN 55101","$84,000 - $155,000",year,Full-time,30+ days ago,You will learn and grow to stay up to date with the latest trends and technologies in this dynamic data and analytics space.,https://www.indeed.com/viewjob?jk=39f418586869e2ab,1
