title,company,location,salary,salary_period,job_type,posted_date,summary,url,scraped_from_page
Python Developer,Velosys,"Austin, TX 78701","$110,000 - $125,000",year,Full-time,30+ days ago,"We are seeking a skilled Python Developer for Reporting and Data Engineering with strong skills in Python, Pandas DataFrames, API development and PDF/Excel…",https://www.indeed.com/viewjob?jk=7f6e487e1d1d8b03,1
Python Developer,APLOMB Technologies,"Dallas, TX 75244",$46 - $55,hour,Contract,13 days ago,The ideal candidate will have a strong background in software development and a passion for building innovative applications. NET or Azure is a plus.,https://www.indeed.com/viewjob?jk=652d5945729c5569,1
Python Developer Advocate,SerpApi,"Austin, TX","$100,000 - $125,000",year,Full-time,30+ days ago,"Design and implement a developer-focused strategy to grow SerpApi’s presence in the Python community. Create engaging content in various formats (blogs, videos,…",https://www.indeed.com/viewjob?jk=94901d310f555178,1
Python Developer,Qatalys Software Technologies,"Irving, TX",Not mentioned,Not mentioned,Not mentioned,30+ days ago,Analyzes business and technical requirements to design coding solutions using JAVA/J2EE programming language that meet the needs of the Program.,https://www.indeed.com/viewjob?jk=a2a8cbd917cbf446,1
"Python Software Engineer - Fort Worth, TX",Chalk Mountain Services,"Fort Worth, TX",Not mentioned,Not mentioned,Not mentioned,8 days ago,"The ideal candidate will have strong experience with the Django framework and REST API development. You will be responsible for designing, developing, and…",https://www.indeed.com/viewjob?jk=ccc1db27db4042cc,1
Senior Python Developer,TekisHub Consulting Services,"Austin, TX 78701",$55 - $62,hour,Contract,26 days ago,Minimum of 4-5 years of experience in building solutions in Python. Experience developing RESTful APIs and micro-services in Python.,https://www.indeed.com/viewjob?jk=50952845f33457e7,1
Python Developer Contractor,Flex Employee Services,"Plano, TX 75023",$0 - $58,hour,Contract,29 days ago,"As a Python Developer Contractor, you will be responsible for developing, maintaining, and optimizing Python-based applications and solutions.",https://www.indeed.com/viewjob?jk=b61e9cb420a6bcb5,1
Python Developer - Capital Markets,Scalable Systems,"Plano, TX 75023",$60 - $65,hour,Contract,30 days ago,This role is in the Corporate Treasury Technology Group at client We need a senior full stack developer skilled in building and supporting dynamic web…,https://www.indeed.com/viewjob?jk=3fbe47ad700a8f25,1
Python Developer,ILabz Technology,"Dallas, TX",$60 - $65,hour,Full-time,30 days ago,Design and develop Python scripts for performance automation across Windows and macOS platforms. Build and maintain desktop automation workflows using PyAutoGUI…,https://www.indeed.com/viewjob?jk=669ed9a3128dddfb,1
Backend Developer (Python Focused),"OxeFit, Inc.","Plano, TX 75093",Not mentioned,Not mentioned,Full-time,30+ days ago,"The ideal candidate will be a Python expert with a strong focus on developing robust, scalable, and efficient backend systems.",https://www.indeed.com/viewjob?jk=68930baf9ecdcfc8,1
Python Developer/Lead,CLOUDSCOUTS SOFTWARE SOLUTIONS LLC,"Frisco, TX 75036",Not mentioned,Not mentioned,Full-time,30+ days ago,"Hands on experience in Python 3 Libraries, UI frameworks. PHP, HTML5, AJAX, JavaScript, JQuery, JSON. Time series DB knowledge (Prometheus, Influx, Open search…",https://www.indeed.com/viewjob?jk=94cccf7f85b3b228,1
System Back-End Developer (Python Developer) (EM6934),Samsung SDS America,"Plano, TX",Not mentioned,Not mentioned,Full-time,30+ days ago,"We are seeking a System Back-End Developer with strong Python and programming expertise to design, develop, and maintain automation tools and data processing…",https://www.indeed.com/viewjob?jk=312b1d6b95e3e4f4,1
Python Developer,Brilliance Cyber Systems INC,"Irving, TX","$120,000 - $130,000",year,Full-time,30+ days ago,"Develop, test, and maintain applications using FastAPI. Design and implement database models and schemas using SQLAlchemy.",https://www.indeed.com/viewjob?jk=dab7d7d6719f79fb,1
Python AWS Developer,"Integrated Technology Strategies, Inc.","Houston, TX 77001",Not mentioned,Not mentioned,Contract,30+ days ago,"Location- Plano, TX (Day 1 Onsite). Build elegant and scalable capabilities using Python and Golang for our software delivery platforms, with a strong focus on…",https://www.indeed.com/viewjob?jk=fca2179770bbae38,1
Python Developer (AWS),"Integrated Technology Strategies, Inc.","Dallas, TX 75201",Not mentioned,Not mentioned,Not mentioned,30+ days ago,"You will participate and effectively contribute to the design, development, and implementation of complex applications, often using new technologies.",https://www.indeed.com/viewjob?jk=cb1fe8a6b26f986f,1
