title,company,location,salary,salary_period,job_type,posted_date,summary,url,scraped_from_page
Full Stack Developer,Intone Networks,"Minneapolis, MN",Not mentioned,Not mentioned,Contract,Just posted,"Full Stack Developer Minneapolis, MN – Onsite (only locals…",https://www.indeed.com/viewjob?jk=bba9625d4cec6596,1
Software Engineer,Capillary Technologies,Minnesota,Not mentioned,Not mentioned,Full-time,30+ days ago,Build and maintain APIs that serve data to our various front ends and directly to our clients. Work with the Product Owner to estimate and scope software tasks.,https://www.indeed.com/viewjob?jk=f1fdb058d710cd6f,1
Software Engineer (.Net),Garda Capital Partners,"Wayzata, MN","$100,000 - $150,000",year,Not mentioned,15 days ago,The selected candidate will join the team are responsible for building and maintaining the services that support our Middle Office and Trade Support operations.,https://www.indeed.com/viewjob?jk=0b87afd5f9cf58e9,1
"Software Development Engineer, Onboard Service IT",Delta Airlines,"Minneapolis, MN","$69,400 - $187,400",year,Not mentioned,30+ days ago,"The Full Stack Software Development Engineer is responsible for development, operations and support, and enhancements of Delta’s Onboard Service IT systems.",https://www.indeed.com/viewjob?jk=7e7fabf4c4c3fac8,1
"Senior Software Development Engineer, Onboard Service IT",Delta Airlines,"Minneapolis, MN","$81,300 - $221,000",year,Not mentioned,30+ days ago,"The Senior Full Stack Software Development Engineer is responsible for development, operations and support, and enhancements of Delta’s Onboard Service IT…",https://www.indeed.com/viewjob?jk=424e9fd705f9be5b,1
Build Engineer,Mimecast,"Minneapolis, MN","$120,000 - $180,000",year,Full-time,2 days ago,"Analyze logs and system metrics to identify root causes, drive continuous improvement, and improve developer velocity and system reliability.",https://www.indeed.com/viewjob?jk=09f4401f4ae10905,1
Front End Developer,Alula LLC,"Saint Paul, MN 55101",Not mentioned,Not mentioned,Full-time,14 days ago,"The Front-End Developer position requires an experienced, reliable and results-oriented person who enjoys making new things and helping to make old things work…",https://www.indeed.com/viewjob?jk=6254a75ae9fa5d8b,1
Junior Scientific Programmer/Data Scientist,University of Minnesota,"Minneapolis, MN",Not mentioned,Not mentioned,Full-time,30+ days ago,B.A./B.S. in Computer Science/Math/Statistics/Physics/Informatics or related technical discipline plus at least four years of relevant experience or a…,https://www.indeed.com/viewjob?jk=5bc2c528349869e1,1
SOFTWARE ENGINEER I (205A102825),Infinite Campus,"Minneapolis, MN 55449","$0 - $75,000",year,Full-time,6 days ago,The Software Engineer I is responsible for software development within Infinite Campus – Student Administration. Estimate level of effort for individual work.,https://www.indeed.com/viewjob?jk=b96ae9d00002b619,1
Java Full stack Developer (Ex Cardinal)-5,Realign LLC,Minnesota,Not mentioned,Not mentioned,Contract,30+ days ago,"Java Full Stack Developer (Ex Cardinal) – Remote Contract. We are looking for a highly skilled Java Full Stack Developer with experience in Angular, Java, and…",https://www.indeed.com/viewjob?jk=7248744046a23bcd,1
"Data Analyst (Medicaid, ADF, SQL, Python)",Intone Networks,"Eden Prairie, MN",Not mentioned,Not mentioned,Contract,21 days ago,"Job Title: Data Analyst (Medicaid, ADF, SQL, Python) Need…",https://www.indeed.com/viewjob?jk=341613a8c65cb3f6,1
Software Engineer,Patterson,"Saint Paul, MN 55116","$83,400 - $115,000",year,Full-time,18 days ago,"Collaborates with clients, developers and other team members in the conceptualization and development of new or existing software applications.",https://www.indeed.com/viewjob?jk=d70839196d5e253a,1
Software Engineer I - Bracco Medical Technologies,Bracco,"Eden Prairie, MN 55344","$95,000 - $105,000",year,Full-time,22 days ago,This role includes opportunities to build proficiency as a software developer and learn to translate product requirements into code and document work to be…,https://www.indeed.com/viewjob?jk=5065b6039998c1a3,1
Product Engineer,Shared Success Center,Minnesota,"$138,000 - $163,000",year,Full-time,25 days ago,"Work across the full technology stack, leveraging Dart/Flutter, React, and Java frameworks, to build user-centric solutions.",https://www.indeed.com/viewjob?jk=8684f2bb5c9add39,1
Senior Software Engineer (Backend) – Labs Legal Tech,Thomson Reuters,"Eagan, MN 55121","$126,000 - $234,000",year,Full-time,30+ days ago,"Experience providing technical leadership within a development team, including but not limited to: mentoring junior developers, reviewing code, training on new…",https://www.indeed.com/viewjob?jk=aaf306ca28579f0f,1
Full Stack Engineering Developer,Honeywell,"Minneapolis, MN","$104,000 - $130,000",year,Full-time,30+ days ago,"You will collaborate with cross-functional teams, develop innovative solutions, and contribute to the overall success of our aerospace manufacturing operations…",https://www.indeed.com/viewjob?jk=13421e8097b8747e,2
"Full Stack Web Developer - Entry Level - Saint Louis Park, MN",Aston Technologies Inc.,"Saint Louis Park, MN",$25 - $-1,hour,Not mentioned,30+ days ago,"When on a project, our software developers solve technical challenges, document solutions, resolve bugs, and allocate resources to deliver solutions for the…",https://www.indeed.com/viewjob?jk=a3f0e04c136e6e5f,2
"Full-Stack Developer II – Java | Hybrid | Minneapolis, MN",Entrust,"Shakopee, MN","$100,781 - $147,813",year,Full-time,30+ days ago,"The solutions are built using Java and modern Web technology stack that employs the latest in industry required security standards. Experience in SSO, SAML 2.0.",https://www.indeed.com/viewjob?jk=c02fcd4ae8e370d8,2
AI Software Engineer - Developer Experience,U.S. Bank National Association,"Hopkins, MN 55343",Not mentioned,Not mentioned,Full-time,Just posted,U.S. Bank is seeking a Software Engineer who will contribute toward the success of our technology initiatives in our digital transformation journey.,https://www.indeed.com/viewjob?jk=8cc00b691b5128bf,2
Software Engineer 2 (Mainframe - Cobol),U.S. Bank National Association,"Hopkins, MN 55343","$98,175 - $115,500",year,Full-time,Just posted,"Ability to mentor junior developers and provide technical guidance across teams. This position will be responsible for the analysis, design, testing,…",https://www.indeed.com/viewjob?jk=8a2c2f545aa756f4,2
AI/Machine Learning Engineer,Mimecast,"Minneapolis, MN","$120,000 - $180,000",year,Full-time,1 day ago,"In this role, you will embrace the role of ""full-stack"" data scientist, which will often require you to acquire and clean raw data, engage internal and external…",https://www.indeed.com/viewjob?jk=041f036886a0bbd4,2
Robotics Software Engineer - Morris MN,University of Minnesota,"Minneapolis, MN",Not mentioned,Not mentioned,Full-time,1 day ago,"BA/BS in Computer Science, Software Engineering, or similar technical field plus at least five years of relevant experience, or a combination of education and…",https://www.indeed.com/viewjob?jk=ecf843282e110a91,2
Sr Software Developer,Aspen Technology,"Medina, MN","$109,600 - $137,000",year,Full-time,1 day ago,"With this role, you will help to build a variety of applications, services, and visualization tools made for enabling our utility customers to optimize their…",https://www.indeed.com/viewjob?jk=27fb092f7bbb7fd7,2
