title,company,location,salary,salary_period,job_type,posted_date,summary,url,scraped_from_page
IT Developer/Programmer Analyst (TX537601527),"Resource Management Associates, LLC","Austin, TX 78701",$63 - $68,hour,"Full-time, Temporary, Contract",26 days ago,"Plans, develops, tests, and documents computer programs, applying knowledge of programming techniques and computer systems.",https://www.indeed.com/viewjob?jk=58b263ac8a2015b0,1
Senior Python Developer,TekisHub Consulting Services,"Austin, TX 78701",$55 - $62,hour,Contract,26 days ago,Minimum of 4-5 years of experience in building solutions in Python. Experience developing RESTful APIs and micro-services in Python.,https://www.indeed.com/viewjob?jk=50952845f33457e7,1
Python Developer Contractor,Flex Employee Services,"Plano, TX 75023",$0 - $58,hour,Contract,29 days ago,"As a Python Developer Contractor, you will be responsible for developing, maintaining, and optimizing Python-based applications and solutions.",https://www.indeed.com/viewjob?jk=b61e9cb420a6bcb5,1
Python Developer - Capital Markets,Scalable Systems,"Plano, TX 75023",$60 - $65,hour,Contract,30 days ago,This role is in the Corporate Treasury Technology Group at client We need a senior full stack developer skilled in building and supporting dynamic web…,https://www.indeed.com/viewjob?jk=3fbe47ad700a8f25,1
Python Developer,ILabz Technology,"Dallas, TX",$60 - $65,hour,Full-time,30 days ago,Design and develop Python scripts for performance automation across Windows and macOS platforms. Build and maintain desktop automation workflows using PyAutoGUI…,https://www.indeed.com/viewjob?jk=669ed9a3128dddfb,1
Power BI Developer with Python,Alasus Technologies,"Houston, TX",Not mentioned,Not mentioned,Not mentioned,30+ days ago,"We are seeking a highly experienced Sr. Power BI Consultant to design, develop, and optimize enterprise-level reporting and analytics solutions.",https://www.indeed.com/viewjob?jk=b2376325b8e20ff5,1
Sr. Python Engineer,X-Bow Systems,"Luling, TX 78648",Not mentioned,Not mentioned,Full-time,30+ days ago,"Our mission is to make complex industrial systems that do this more flexible, reliable, and intuitive - and we need sharp engineers who love solving real-world…",https://www.indeed.com/viewjob?jk=805de8b2df88ef61,1
Senior Software Engineer | AI,8am,"Austin, TX",Not mentioned,Not mentioned,Not mentioned,30+ days ago,"You will collaborate with engineers, product managers, and data scientists to bring cutting-edge AI into production, ensuring it drives meaningful business and…",https://www.indeed.com/viewjob?jk=85fbc9ca0e926e04,1
Python Data Engineer,Vitol,"Houston, TX",Not mentioned,Not mentioned,Full-time,30+ days ago,We are looking for a talented and motivated Python Data Engineer to help us expand our data assets in support of our analytical capabilities in a full-time role…,https://www.indeed.com/viewjob?jk=1d59e115cabbed7b,1
Python Developer,Velosys,"Austin, TX 78701","$110,000 - $125,000",year,Full-time,30+ days ago,"We are seeking a skilled Python Developer for Reporting and Data Engineering with strong skills in Python, Pandas DataFrames, API development and PDF/Excel…",https://www.indeed.com/viewjob?jk=7f6e487e1d1d8b03,1
Backend Developer (Python Focused),"OxeFit, Inc.","Plano, TX 75093",Not mentioned,Not mentioned,Full-time,30+ days ago,"The ideal candidate will be a Python expert with a strong focus on developing robust, scalable, and efficient backend systems.",https://www.indeed.com/viewjob?jk=68930baf9ecdcfc8,1
System Back-End Developer (Python Developer) (EM6934),Samsung SDS America,"Plano, TX",Not mentioned,Not mentioned,Full-time,30+ days ago,"We are seeking a System Back-End Developer with strong Python and programming expertise to design, develop, and maintain automation tools and data processing…",https://www.indeed.com/viewjob?jk=312b1d6b95e3e4f4,1
Staff Software Engineer - Robotic Simulation,Apptronik,"Austin, TX 78758",Not mentioned,Not mentioned,Not mentioned,30+ days ago,"In this role, you will be responsible for the continuous development, improvement, and maintenance of our simulation environments in MuJoCo, scaling the…",https://www.indeed.com/viewjob?jk=e00fa807e62bbc76,1
Data Governance- Python Engineer,Fixity Technologies LLC,"Dallas, TX",Not mentioned,Not mentioned,Not mentioned,30+ days ago,"In Platform Solutions (PS), we power clients with innovative and customer-centered financial products. Enterprise Partnerships, consumer financial products (…",https://www.indeed.com/viewjob?jk=4ca64f580648206a,1
