title,company,location,salary,salary_period,job_type,posted_date,summary,url,scraped_from_page
Python Developer,Brilliance Cyber Systems INC,"Irving, TX","$120,000 - $130,000",year,Full-time,30+ days ago,"Develop, test, and maintain applications using FastAPI. Design and implement database models and schemas using SQLAlchemy.",https://www.indeed.com/viewjob?jk=dab7d7d6719f79fb,1
Snowflake Developer,Brilliance Cyber Systems INC,"Coppell, TX 75019",$60 - $67,hour,Contract,30+ days ago,"Skills: Data Management, Snowflake cloud warehouse, ETL pipelines in and out of data warehouse, Python and Snowflake SQL, scripts using Unix shell, Data Lineage…",https://www.indeed.com/viewjob?jk=42231d361cca365d,2
Sr. Python/Gen AI Developer,Iris Infotech Inc,"Dallas, TX",Not mentioned,Not mentioned,Not mentioned,30+ days ago,The ideal candidate will have a solid background in Python development and a deep understanding of Generative AI technologies. Overall 14+ yrs of experience.,https://www.indeed.com/viewjob?jk=f340511405b65d07,2
Python AWS Developer,"Integrated Technology Strategies, Inc.","Houston, TX 77001",Not mentioned,Not mentioned,Contract,30+ days ago,"Location- Plano, TX (Day 1 Onsite). Build elegant and scalable capabilities using Python and Golang for our software delivery platforms, with a strong focus on…",https://www.indeed.com/viewjob?jk=fca2179770bbae38,2
Automation Testing Service PYTHON Telecom & Datacom,Sonsoft Inc,"Richardson, TX",Not mentioned,Not mentioned,Full-time,30+ days ago,"At least 1 year of QA experience. Understanding of one or more Estimation methodologies, Knowledge of Quality processes.",https://www.indeed.com/viewjob?jk=1b71ef1a5913ad95,2
Python Developer (AWS),"Integrated Technology Strategies, Inc.","Dallas, TX 75201",Not mentioned,Not mentioned,Not mentioned,30+ days ago,"You will participate and effectively contribute to the design, development, and implementation of complex applications, often using new technologies.",https://www.indeed.com/viewjob?jk=cb1fe8a6b26f986f,2
Backend Python Developer,Cliently,"San Antonio, TX",Not mentioned,Not mentioned,Full-time,30+ days ago,Experience with building Restful APIs with python. Further develop the Cliently API backend (currently a python Flask project).,https://www.indeed.com/viewjob?jk=cf8f640379b9d46b,2
"Python Developer - Plano, TX","Career Mentors, LLC","Plano, TX",$55 - $57,hour,Full-time,30+ days ago,"The ideal candidate will have hands-on experience with data mining, AI/ML integration, and robust exposure to cloud and DevOps ecosystems using AWS, Jenkins,…",https://www.indeed.com/viewjob?jk=2a971f0f62257045,2
"Genesys Developer - Plano, TX | Charlotte, NC","Career Mentors, LLC","Plano, TX",$55 - $58,hour,Full-time,30+ days ago,"The ideal candidate will have extensive experience developing and implementing Genesys contact center solutions, both on-premises and in the cloud.",https://www.indeed.com/viewjob?jk=e61017a8c2b8443f,2
Software Engineer (Python + Kafka or Python + Azure Service Bus),Sansar Tec LLC,"Houston, TX 77002",Not mentioned,Not mentioned,Full-time,30+ days ago,"Understanding of multi-process event-driven systems (Kafka, Azure Service Bus, RabbitMQ). 5-8 years of experience in developing software solutions with at least…",https://www.indeed.com/viewjob?jk=4c7047496563a29e,2
Lead Software Engineer,Thrive,"Dallas, TX",Not mentioned,Not mentioned,Full-time,30+ days ago,"Education level: Bachelor’s degree. Being a member of IT Solutions team, you will provide technical expertise and may coordinate some day-to-day work for a team…",https://www.indeed.com/viewjob?jk=f192c9d569b25ef4,2
Sr. Golang Developer- (Cloud Software Engineer),Toyota Tsusho Systems,"Plano, TX",Not mentioned,Not mentioned,Contract,30+ days ago,Several of these efforts require hands-on development skills with both embedded systems and cloud environment with a working knowledge of security.,https://www.indeed.com/viewjob?jk=d7af7be1204b6168,2
Senior Software Engineer - Desktop Agent,Cytracom,"McKinney, TX 75070",Not mentioned,Not mentioned,Full-time,2 days ago,"Design, implement, and optimize robust cross-platform agents for Windows and macOS environments, focusing on kernel-level networking, system extensions, and low…",https://www.indeed.com/viewjob?jk=332a83770b232903,2
Senior Quality Engineer,8am,"Austin, TX",Not mentioned,Not mentioned,Not mentioned,2 days ago,"You'll mentor junior engineers, contribute to process improvements, and take ownership of quality initiatives that protect and enhance our customers' experience…",https://www.indeed.com/viewjob?jk=83df1a58f40342ba,2
Python Developer,sdna global,"Irving, TX 75038","$110,000 - $130,000",year,Full-time,5 days ago,Expert level knowledge of core python concepts and libraries and well versed with OOPs concepts and design patterns * Database Expertise: Proficient with…,https://www.indeed.com/viewjob?jk=ce735099e6f3f3f6,2
DevOps Engineer,Eventus Consulting Group,"Plano, TX","$100,528 - $121,065",year,"Full-time, Contract",5 days ago,"8+ Years of strong experience in developing and supporting CI/CD systems and solutions. Very good experience in Python and Groovy Automation for CI/CD, AWS…",https://www.indeed.com/viewjob?jk=edb94ca502965069,2
